,club,clubId,dayNightTwilight,driversAvailableTime,featureRaceText,meetingClass,meetingCode,meetingStage,meetingStatus,numberOfRaces,scheduledDate,state,tab,track,trackId,trials,ageRestriction,ageSexDescription,alsoEligible,barrierDrawType,claim,claimRestrictionText,discretionaryHandicap,distance,fieldSize,gaitRace,leadTime,marginFirstToSecond,marginSecondToThird,mileRate,monte,raceName,nameShort,notes,overallTime,plannedStartTimestamp,prizemoneyPositions,quarter1,quarter2,quarter3,quarter4,raceClass,raceClassRestriction,raceCode,raceNumber,raceStatus,stakes,startType,trackCondition,age,barrier,beatenMargin,breeder,breederId,broodmareSireId,broodmareSireName,claimingPrice,colour,damId,damName,deadHeatFlag,driverConcessionFlag,driverDOB,driverGender,driverId,driverName,gaitHorse,handicap,horseFoalDate,horseId,horseMileRate,horseOverallTime,lateScratchingFlag,horseName,owner,ownerId,pastThePostPlacing,place,prizemoney,saddlecloth,scratchingFlag,sex,sireId,sireName,startingPriceTote,stewardsCommentsLong,stewardsCommentsShort,trainerDOB,trainerGender,trainerId,trainerName,trainerTitle,trotterInPacersRace,bsp,preplay_last_price_taken,long_stew_unclustered_features,long_stew_clustered_features,has_pir_data,bell_pir,used_sprint_lane,bell_pir_str,was_good_draw,was_bad_draw,bell_pir_list,front_row_binary,numraces_since_known_driver_change,numraces_pair_prior
1660077,Redcliffe,851869BD405536D1E055005E00000019,D,2014-11-18 23:00:00+00:00,,C-CLASS,RE201114,RESULTS,PLANNED,8.0,2014-11-20,QLD,True,redcliffe,851869C7F28736D1E055005E00000019,False,,,,PBD/C,False,,False,2040.0,8.0,PACERS,31.9,7.1,NK,2:00.4,False,GARRARDS ON TRACK HERE AT REDCLIFFE PACE,GARRARDS ON TRACK PACE,"DC.  MC.  For horses that have not won a race valued at more than $3,250 in their last 6 starts.",2:32.6,2014-11-20 05:49:00+00:00,"[{'place': '1', 'placeAmount': 1810}, {'place': '2', 'placeAmount': 540}, {'place': '3', 'placeAmount': 270}, {'place': '4', 'placeAmount': 81}, {'place': '5', 'placeAmount': 50}, {'place': '6', 'placeAmount': 50}, {'place': '7', 'placeAmount': 50}, {'place': '8', 'placeAmount': 50}, {'place': '9', 'placeAmount': 50}, {'place': '10', 'placeAmount': 50}]",33.0,30.4,28.8,28.5,C-CLASS,C4 To C5. ,REC20111402,6.0,Accepted,3001.0,MS,GOOD,8.0,Sr1,21.9,R G (Rodney) Dickson,851869C0714436D1E055005E00000019,851869C2B6DA36D1E055005E00000019,CAMTASTIC USA,,BAY,851869C6374036D1E055005E00000019,MISS SIRRAH (NZ),False,,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,PACER,FT,2006-10-17 00:00:00+00:00,851869C7197236D1E055005E00000019,2:01.691,2:34.259,False,weasel,"J H Ford, W A Ford",851869BCCECF36D1E055005E00000019,6,6,50.0,7.0,False,GELDING,851869C33A8B36D1E055005E00000019,MACH THREE CA,22.4,"3rd fence at bell, hung out, raced roughly, warning issued",5 HO RR WI,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,Mr,False,40.1,40.1,warning_issued|raced_roughly|hung_out|3rd_fence_at_bell,raced_ungenerously_not_early|hung_out|bell_and_800_fence_behind_leader,0,['5'],0,['5'],0,1,['5'],0,1,0
1657761,Redcliffe,851869BD405536D1E055005E00000019,N,2014-11-24 23:00:00+00:00,,C-CLASS,RE261114,RESULTS,PLANNED,8.0,2014-11-26,QLD,True,redcliffe,851869C7F28736D1E055005E00000019,False,,,,PBD/FSP,False,,False,2040.0,10.0,PACERS,30.6,1.6,2.9,1:59.8,False,BETTA HOME LIVING VIRGINIA CONDITIONED PACE,BETTA HOME LIVING COND PCE,"No better than Q1.  NDC.  NMC.  For horses that have not won more than $1,500 in their last 3 starts.",2:31.8,2014-11-26 08:50:00+00:00,"[{'place': '1', 'placeAmount': 3149}, {'place': '2', 'placeAmount': 940}, {'place': '3', 'placeAmount': 470}, {'place': '4', 'placeAmount': 141}, {'place': '5', 'placeAmount': 50}, {'place': '6', 'placeAmount': 50}, {'place': '7', 'placeAmount': 50}, {'place': '8', 'placeAmount': 50}, {'place': '9', 'placeAmount': 50}, {'place': '10', 'placeAmount': 50}]",31.2,31.2,29.3,29.5,C-CLASS,C4 Or Better. ,REC26111402,4.0,Accepted,5000.0,MS,GOOD,8.0,Fr4,22.2,R G (Rodney) Dickson,851869C0714436D1E055005E00000019,851869C2B6DA36D1E055005E00000019,CAMTASTIC USA,,BAY,851869C6374036D1E055005E00000019,MISS SIRRAH (NZ),False,,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,PACER,FT,2006-10-17 00:00:00+00:00,851869C7197236D1E055005E00000019,2:01.068,2:33.470,False,weasel,"J H Ford, W A Ford",851869BCCECF36D1E055005E00000019,9,9,50.0,4.0,False,GELDING,851869C33A8B36D1E055005E00000019,MACH THREE CA,34.6,"caused false start, out of draw in mobile starts, 1 out 1 back at bell",CFS ODM 4,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,Mr,False,95.0,95.0,1_out_1_back_at_bell|out_of_draw_in_mobile_starts|caused_false_start,score_up_issue|draw_restrictions|bell_and_800_and_one_out_and_1_back,1,['4'],0,['4'],1,0,['4'],1,2,1
1655205,Redcliffe,851869BD405536D1E055005E00000019,N,2014-12-01 23:00:00+00:00,,C-CLASS,RE031214,RESULTS,PLANNED,10.0,2014-12-03,QLD,True,redcliffe,851869C7F28736D1E055005E00000019,False,,,,PBD/C,False,,False,1780.0,10.0,PACERS,11.5,HFHD,1.7,1:59.8,False,LAWRENCE FEEHELY PACE,LAWRENCE FEEHELY PACE,DC.  MC.,2:12.5,2014-12-03 07:52:00+00:00,"[{'place': '1', 'placeAmount': 3149}, {'place': '2', 'placeAmount': 940}, {'place': '3', 'placeAmount': 470}, {'place': '4', 'placeAmount': 141}, {'place': '5', 'placeAmount': 50}, {'place': '6', 'placeAmount': 50}, {'place': '7', 'placeAmount': 50}, {'place': '8', 'placeAmount': 50}, {'place': '9', 'placeAmount': 50}, {'place': '10', 'placeAmount': 50}]",30.0,32.2,29.3,29.5,C-CLASS,C3 To C4. ,REC03121413,2.0,Accepted,5000.0,MS,GOOD,8.0,Sr4,18.1,R G (Rodney) Dickson,851869C0714436D1E055005E00000019,851869C2B6DA36D1E055005E00000019,CAMTASTIC USA,,BAY,851869C6374036D1E055005E00000019,MISS SIRRAH (NZ),False,,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,PACER,FT,2006-10-17 00:00:00+00:00,851869C7197236D1E055005E00000019,2:01.005,2:13.840,False,weasel,"J H Ford, W A Ford",851869BCCECF36D1E055005E00000019,9,9,50.0,10.0,False,GELDING,851869C33A8B36D1E055005E00000019,MACH THREE CA,106.9,"1st horse 3 wide at bell, 3 wide late",W1 3WL,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,Mr,False,157.31,157.31,3_wide_late|1st_horse_3_wide_at_bell,bell_and_800_and_3_wide_and_outside_leader|400_neutral,0,['1'],0,[],0,1,['1'],1,3,2
1640220,Redcliffe,851869BD405536D1E055005E00000019,D,2015-01-06 23:00:00+00:00,,C-CLASS,RE080115,RESULTS,PLANNED,8.0,2015-01-08,QLD,True,redcliffe,851869C7F28736D1E055005E00000019,False,,,,PBD/CLAIM,True,Claiming price of $2000 but not exceeding $5000.,False,1780.0,9.0,PACERS,11.5,7.2,HFHD,1:59.4,False,JOHN WHITECROSS CLAIMING PACE,J WHITECROSS 2-5 CLM NBTC6,No better than C6.  NDC.  NMC.,2:12.1,2015-01-08 04:35:00+00:00,"[{'place': '1', 'placeAmount': 1810}, {'place': '2', 'placeAmount': 540}, {'place': '3', 'placeAmount': 270}, {'place': '4', 'placeAmount': 81}, {'place': '5', 'placeAmount': 50}, {'place': '6', 'placeAmount': 50}, {'place': '7', 'placeAmount': 50}, {'place': '8', 'placeAmount': 50}, {'place': '9', 'placeAmount': 50}, {'place': '10', 'placeAmount': 50}]",31.7,30.2,28.7,30.0,C-CLASS,,REC08011510,4.0,Accepted,3001.0,MS,GOOD,8.0,Fr6,14.6,R G (Rodney) Dickson,851869C0714436D1E055005E00000019,851869C2B6DA36D1E055005E00000019,CAMTASTIC USA,5000.0,BAY,851869C6374036D1E055005E00000019,MISS SIRRAH (NZ),False,,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,PACER,FT,2006-10-17 00:00:00+00:00,851869C7197236D1E055005E00000019,2:00.411,2:13.183,False,weasel,"J H Ford, W A Ford",851869BCCECF36D1E055005E00000019,7,7,50.0,6.0,False,GELDING,851869C33A8B36D1E055005E00000019,MACH THREE CA,75.3,"caught wide early, Outside leader, Obtained trail middle, 1 out 1 back at bell, back in mobile draw",CWE OL OTM 4 BMD,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,Mr,False,210.0,210.0,1_out_1_back_at_bell|caught_wide_early|outside_leader|obtained_trail_middle|back_in_mobile_draw,greater_than_2_wide_early|draw_restrictions|bell_and_800_and_outside_leader|bell_and_800_and_one_out_and_1_back,1,['4'],0,['4'],0,1,['4'],1,4,3
1637488,Redcliffe,851869BD405536D1E055005E00000019,N,2015-01-12 23:00:00+00:00,C1 Concession Drivers Pace,C-CLASS,RE140115,RESULTS,PLANNED,10.0,2015-01-14,QLD,True,redcliffe,851869C7F28736D1E055005E00000019,False,,,,PBD/$L6,False,,False,2040.0,8.0,PACERS,31.8,1.7,5.4,2:01.1,False,CHRIS & NOEL DENNINGS BURWOOD STUD PACE,BURWOOD STUD PACE,"DC.  MC.  For horses that have not won more than $1,500 in their last 3 starts.",2:33.5,2015-01-14 10:20:00+00:00,"[{'place': '1', 'placeAmount': 1810}, {'place': '2', 'placeAmount': 540}, {'place': '3', 'placeAmount': 270}, {'place': '4', 'placeAmount': 81}, {'place': '5', 'placeAmount': 50}, {'place': '6', 'placeAmount': 50}, {'place': '7', 'placeAmount': 50}, {'place': '8', 'placeAmount': 50}, {'place': '9', 'placeAmount': 50}, {'place': '10', 'placeAmount': 50}]",31.7,31.4,29.2,29.4,C-CLASS,C3 To C4. ,REC14011504,7.0,Accepted,3001.0,MS,GOOD,8.0,Fr1,7.1,R G (Rodney) Dickson,851869C0714436D1E055005E00000019,851869C2B6DA36D1E055005E00000019,CAMTASTIC USA,,BAY,851869C6374036D1E055005E00000019,MISS SIRRAH (NZ),False,,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,PACER,FT,2006-10-17 00:00:00+00:00,851869C7197236D1E055005E00000019,2:01.543,2:34.072,False,weasel,"J H Ford, W A Ford",851869BCCECF36D1E055005E00000019,3,3,270.0,1.0,False,GELDING,851869C33A8B36D1E055005E00000019,MACH THREE CA,34.9,"gate speed, behind leader at bell",GS 3,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,Mr,False,64.35,64.35,gate_speed|behind_leader_at_bell|leader_at_bell,showed_early_speed|bell_and_800_leader|bell_and_800_fence_behind_leader,0,['3'],0,['3'],1,0,['3'],1,5,4
1634174,Redcliffe,851869BD405536D1E055005E00000019,N,2015-01-19 23:00:00+00:00,,C-CLASS,RE210115,RESULTS,PLANNED,10.0,2015-01-21,QLD,True,redcliffe,851869C7F28736D1E055005E00000019,False,,,,PBD/$L6,False,,False,1780.0,10.0,PACERS,11.2,3.3,NK,1:58.4,False,FOLLOW TROTTIPS ON TWITTER CONDITIONED PACE,TROTTIPS CONDITIONED PACE,"No better than Q1.  NDC.  NMC.  For horses that have not won a race valued at more than $3,500 in their last 6 starts.",2:10.9,2015-01-21 08:50:00+00:00,"[{'place': '1', 'placeAmount': 2144}, {'place': '2', 'placeAmount': 640}, {'place': '3', 'placeAmount': 320}, {'place': '4', 'placeAmount': 96}, {'place': '5', 'placeAmount': 50}, {'place': '6', 'placeAmount': 50}, {'place': '7', 'placeAmount': 50}, {'place': '8', 'placeAmount': 50}, {'place': '9', 'placeAmount': 50}, {'place': '10', 'placeAmount': 50}]",30.3,31.5,28.8,29.1,C-CLASS,C4 Or Better. ,REC21011503,4.0,Accepted,3500.0,MS,GOOD,8.0,Fr1,8.1,R G (Rodney) Dickson,851869C0714436D1E055005E00000019,851869C2B6DA36D1E055005E00000019,CAMTASTIC USA,,BAY,851869C6374036D1E055005E00000019,MISS SIRRAH (NZ),False,,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,PACER,FT,2006-10-17 00:00:00+00:00,851869C7197236D1E055005E00000019,1:58.933,2:11.548,False,weasel,"J H Ford, W A Ford",851869BCCECF36D1E055005E00000019,6,6,50.0,1.0,False,GELDING,851869C33A8B36D1E055005E00000019,MACH THREE CA,53.7,"surrended lead early, behind leader at bell",SLE 3,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,Mr,False,230.0,230.0,behind_leader_at_bell|leader_at_bell,up_close_early|bell_and_800_leader|bell_and_800_fence_behind_leader,0,['3'],0,['3'],1,0,['3'],1,6,5
1630533,Redcliffe,851869BD405536D1E055005E00000019,D,2015-01-27 23:00:00+00:00,,C-CLASS,RE290115,RESULTS,PLANNED,7.0,2015-01-29,QLD,True,redcliffe,851869C7F28736D1E055005E00000019,False,,,,PBD/CLAIM,True,Claiming price of $2000 but not exceeding $5000.,False,2040.0,7.0,PACERS,30.8,2.1,10.9,1:59.1,False,COMFORT INN NORTHGATE CLAIMING PACE,COMFORT INN NORTHGATE CLM,No better than C6.  NDC.  NMC.,2:31.0,2015-01-29 05:13:00+00:00,"[{'place': '1', 'placeAmount': 1810}, {'place': '2', 'placeAmount': 540}, {'place': '3', 'placeAmount': 270}, {'place': '4', 'placeAmount': 81}, {'place': '5', 'placeAmount': 50}, {'place': '6', 'placeAmount': 50}, {'place': '7', 'placeAmount': 50}, {'place': '8', 'placeAmount': 50}, {'place': '9', 'placeAmount': 50}, {'place': '10', 'placeAmount': 50}]",30.4,29.0,29.7,31.1,C-CLASS,,REC29011511,3.0,Accepted,3001.0,MS,GOOD,8.0,Fr3,13.0,R G (Rodney) Dickson,851869C0714436D1E055005E00000019,851869C2B6DA36D1E055005E00000019,CAMTASTIC USA,2000.0,BAY,851869C6374036D1E055005E00000019,MISS SIRRAH (NZ),False,,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,PACER,FT,2006-10-17 00:00:00+00:00,851869C7197236D1E055005E00000019,1:59.897,2:31.985,False,weasel,"J H Ford, W A Ford",851869BCCECF36D1E055005E00000019,3,3,270.0,3.0,False,GELDING,851869C33A8B36D1E055005E00000019,MACH THREE CA,35.8,3rd fence at bell,5,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,Mr,False,59.06,59.06,3rd_fence_at_bell,bell_and_800_fence_behind_leader,0,['5'],0,['5'],1,0,['5'],0,7,6
1627474,Redcliffe,851869BD405536D1E055005E00000019,D,2015-02-03 23:00:00+00:00,,C-CLASS,RE050215,RESULTS,PLANNED,8.0,2015-02-05,QLD,True,redcliffe,851869C7F28736D1E055005E00000019,False,,,,PBD/C,False,,False,1780.0,8.0,PACERS,11.4,6.3,NK,1:59.2,False,KNUDSENS BETTA HOME LIVING PACE,KNUDSENS BETTA PACE,"DC.  MC.  For horses that have not won a race valued at more than $3,250 in their last 6 starts.",2:11.8,2015-02-05 06:10:00+00:00,"[{'place': '1', 'placeAmount': 1810}, {'place': '2', 'placeAmount': 540}, {'place': '3', 'placeAmount': 270}, {'place': '4', 'placeAmount': 81}, {'place': '5', 'placeAmount': 50}, {'place': '6', 'placeAmount': 50}, {'place': '7', 'placeAmount': 50}, {'place': '8', 'placeAmount': 50}, {'place': '9', 'placeAmount': 50}, {'place': '10', 'placeAmount': 50}]",30.4,31.2,29.7,29.1,C-CLASS,C4 To C5. ,REC05021502,5.0,Accepted,3001.0,MS,GOOD,8.0,Fr4,18.6,R G (Rodney) Dickson,851869C0714436D1E055005E00000019,851869C2B6DA36D1E055005E00000019,CAMTASTIC USA,,BAY,851869C6374036D1E055005E00000019,MISS SIRRAH (NZ),False,,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,PACER,FT,2006-10-17 00:00:00+00:00,851869C7197236D1E055005E00000019,2:00.423,2:13.196,False,weasel,"J H Ford, W A Ford",851869BCCECF36D1E055005E00000019,6,6,50.0,4.0,False,GELDING,851869C33A8B36D1E055005E00000019,MACH THREE CA,53.0,1 out 3 back at bell,8,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,Mr,False,149.63,149.63,1_out_3_back_at_bell,bell_and_800_and_one_out_and_3_back,0,['8'],0,['8'],1,0,['8'],0,8,7
1624436,Redcliffe,851869BD405536D1E055005E00000019,D,2015-02-10 23:00:00+00:00,,C-CLASS,RE120215,RESULTS,PLANNED,7.0,2015-02-12,QLD,True,redcliffe,851869C7F28736D1E055005E00000019,False,,,,PBD/C,False,,False,1780.0,9.0,PACERS,11.4,3.0,1.2,2:00.5,False,NO GAIN WITHOUT HYGAIN PACE,HYGAIN C3-4 PACE,"DC.  MC.  For horses that have not won a race valued at more than $3,250 in their last 6 starts.",2:13.3,2015-02-12 06:25:00+00:00,"[{'place': '1', 'placeAmount': 1810}, {'place': '2', 'placeAmount': 540}, {'place': '3', 'placeAmount': 270}, {'place': '4', 'placeAmount': 81}, {'place': '5', 'placeAmount': 50}, {'place': '6', 'placeAmount': 50}, {'place': '7', 'placeAmount': 50}, {'place': '8', 'placeAmount': 50}, {'place': '9', 'placeAmount': 50}, {'place': '10', 'placeAmount': 50}]",30.0,32.2,30.1,29.6,C-CLASS,C3 To C4. ,REC12021503,5.0,Accepted,3001.0,MS,GOOD,8.0,Sr4,10.0,R G (Rodney) Dickson,851869C0714436D1E055005E00000019,851869C2B6DA36D1E055005E00000019,CAMTASTIC USA,,BAY,851869C6374036D1E055005E00000019,MISS SIRRAH (NZ),False,,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,PACER,FT,2006-10-17 00:00:00+00:00,851869C7197236D1E055005E00000019,2:01.218,2:14.076,False,weasel,"J H Ford, W A Ford",851869BCCECF36D1E055005E00000019,7,7,50.0,10.0,False,GELDING,851869C33A8B36D1E055005E00000019,MACH THREE CA,78.1,1 out 4 back at bell,10,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,Mr,False,100.0,100.0,1_out_4_back_at_bell,bell_and_800_and_one_out_and_greater_than_3_back,0,['10'],0,['10'],0,1,['10'],0,9,8
1621634,Redcliffe,851869BD405536D1E055005E00000019,N,2015-02-16 23:00:00+00:00,,C-CLASS,RE180215,RESULTS,PLANNED,10.0,2015-02-18,QLD,True,redcliffe,851869C7F28736D1E055005E00000019,False,,,,PBD/CLAIM,True,Claiming price of $2000 but not exceeding $5000.,False,2040.0,9.0,PACERS,31.2,1.3,HFHD,2:01.1,False,HYGAIN FEEDS CLAIMING PACE,HYGAIN $2K-$5K CLAIMING,NDC.  NMC.,2:33.5,2015-02-18 08:53:00+00:00,"[{'place': '1', 'placeAmount': 3149}, {'place': '2', 'placeAmount': 940}, {'place': '3', 'placeAmount': 470}, {'place': '4', 'placeAmount': 141}, {'place': '5', 'placeAmount': 50}, {'place': '6', 'placeAmount': 50}, {'place': '7', 'placeAmount': 50}, {'place': '8', 'placeAmount': 50}, {'place': '9', 'placeAmount': 50}, {'place': '10', 'placeAmount': 50}]",30.9,30.9,30.0,30.5,C-CLASS,,REC18021510,4.0,Accepted,5000.0,MS,GOOD,8.0,Fr2,14.4,R G (Rodney) Dickson,851869C0714436D1E055005E00000019,851869C2B6DA36D1E055005E00000019,CAMTASTIC USA,2000.0,BAY,851869C6374036D1E055005E00000019,MISS SIRRAH (NZ),False,,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,PACER,FT,2006-10-17 00:00:00+00:00,851869C7197236D1E055005E00000019,2:01.919,2:34.548,False,weasel,"J H Ford, W A Ford",851869BCCECF36D1E055005E00000019,5,5,50.0,2.0,False,GELDING,851869C33A8B36D1E055005E00000019,MACH THREE CA,38.5,"tightened, 1 out 2 back at bell",T 6,1955-01-06 00:00:00+00:00,M,851869BD217D36D1E055005E00000019,John Kerr,Mr,False,67.01,67.01,1_out_2_back_at_bell|tightened,bell_and_800_and_one_out_and_2_back,0,['6'],0,['6'],1,0,['6'],0,10,9
