ID,MAJOR CATEGORY,SUB-CATEGORY,INDIVIDUAL COMMENT,COUNT (1),SUM
1,Start and early race,Score up issue,raced roughly in score up,3696,
2,Start and early race,Score up issue,hung out score-up,3600,
3,Start and early race,Score up issue,hung in score up,3285,
4,Start and early race,Score up issue,pulled hard in score-up,2656,
5,Start and early race,Score up issue,fractious in score-up,1959,
6,Start and early race,Score up issue,slow in score up,985,
7,Start and early race,Score up issue,refused to score-up,895,
8,Start and early race,Score up issue,inconvenienced score up,885,
9,Start and early race,Score up issue,inconv score up,806,
10,Start and early race,Score up issue,fractious in score up,666,
11,Start and early race,Score up issue,broke in early stages score up,578,
12,Start and early race,Score up issue,raced roughly score up,445,
13,Start and early race,Score up issue,raced fiercely during the score-up,363,
14,Start and early race,Score up issue,hung out score up,329,
15,Start and early race,Score up issue,score up,231,
16,Start and early race,Score up issue,driver cautioned score up,208,
17,Start and early race,Score up issue,raced greenly in score up,205,
18,Start and early race,Score up issue,raced fiercely score-up,201,
19,Start and early race,Score up issue,slow to score up,183,
20,Start and early race,Score up issue,raced greenly score up,163,
21,Start and early race,Score up issue,paced and broke in score-up,143,
22,Start and early race,Score up issue,paced in score up,129,
23,Start and early race,Score up issue,inconvenienced in score up,122,
24,Start and early race,Score up issue,driver rep score up,94,
25,Start and early race,Score up issue,raced erratically during the score-up,92,
26,Start and early race,Score up issue,raced greenly score-up,92,
27,Start and early race,Score up issue,locked wheels in score up,69,
28,Start and early race,Score up issue,jibbed score up,61,
29,Start and early race,Score up issue,jibbed in score up,41,
30,Start and early race,Score up issue,raced fiercely in score up,34,
31,Start and early race,Score up issue,shifted out in score-up,23,
32,Start and early race,Score up issue,gear malfunction score up,19,
33,Start and early race,Score up issue,paced and broke in score up,15,
34,Start and early race,Score up issue,locked wheels score up,14,
35,Start and early race,Score up issue,paced score up,12,
36,Start and early race,Score up issue,failed to score up,9,
37,Start and early race,Score up issue,swung sideways score up,6,
38,Start and early race,Score up issue,jumped shadow score-up,5,
39,Start and early race,Score up issue,raced erratically during score up,4,
40,Start and early race,Score up issue,raced ungenerously in score-up,4,
41,Start and early race,Score up issue,broke in score up twice,3,
42,Start and early race,Score up issue,reared in score up,3,
43,Start and early race,Score up issue,swung side ways score up,3,
44,Start and early race,Score up issue,assisted in score up,2,
45,Start and early race,Score up issue,"bell lap, broke in score up",1,
46,Start and early race,Score up issue,broke gear in score up,1,
47,Start and early race,Score up issue,contacted sulky score up,1,
48,Start and early race,Score up issue,paced and broke score up,1,
49,Start and early race,Score up issue,shied score up,1,
50,Start and early race,Score up issue,shifted ground score up,1,
51,Start and early race,Score up issue,shifted out score up,1,
52,Start and early race,Score up issue,inconvenienced before start,163,
53,Start and early race,Score up issue,caused false start twice,57,
54,Start and early race,Score up issue,broke in score up,19988,
55,Start and early race,Score up issue,caused false start,7622,51175
56,Start and early race,Slow start own fault,began badly,9477,
57,Start and early race,Slow start own fault,began awkwardly,66,
58,Start and early race,Slow start own fault,slow out,582,
59,Start and early race,Slow start own fault,slow to score up,183,
60,Start and early race,Slow start own fault,slow away,13,
61,Start and early race,Slow start own fault,less forward,144,
62,Start and early race,Slow start own fault,beaten for speed,375,
63,Start and early race,Slow start own fault,broke at start,203,
64,Start and early race,Slow start own fault,reared and fell before start,40,
65,Start and early race,Slow start own fault,reared before start,36,
66,Start and early race,Slow start own fault,reared and fell at start,33,
67,Start and early race,Slow start own fault,stood flat footed at start,957,
68,Start and early race,Slow start own fault,jumped sideways at start,872,
69,Start and early race,Slow start own fault,hung in after start,2906,
70,Start and early race,Slow start own fault,hung out after start,2743,
71,Start and early race,Slow start own fault,fractious before start,1800,
72,Start and early race,Slow start own fault,swung sideways at start,1213,
73,Start and early race,Slow start own fault,reared at the start,812,
74,Start and early race,Slow start own fault,reared start,213,
75,Start and early race,Slow start own fault,paced and broke after start,379,
76,Start and early race,Slow start own fault,shifted in after start,366,
77,Start and early race,Slow start own fault,shifted out after start,470,
78,Start and early race,Slow start own fault,raced greenly after start,82,
79,Start and early race,Slow start own fault,shifted out at start,79,
80,Start and early race,Slow start own fault,shifted in at start,42,
81,Start and early race,Slow start own fault,raced erratically after start,33,
82,Start and early race,Slow start own fault,veered in after start,27,
83,Start and early race,Slow start own fault,reared and fell before start,40,
84,Start and early race,Slow start own fault,paced roughly at start,17,
