word,count
 obtained trail late,5
1 out 1 back at bell,30780
back in standing start draw,443
used sprint lane,13817
driver fined,9568
unacceptable whip,6347
vets examination after race,52362
vet condition reported,437
outside leader at bell,32191
swabbed,46895
0 lifetime wins,8001
"bell lap, 1 out 3 back",10113
last,43862
3 wide early stages,24547
3 wide middle with trail,3644
"bell lap, 3 wide and 1 back",3054
tired,12597
stood down 1 trial,33258
"bell lap, 1 out 1 back",12943
held up,12021
"bell lap, 1 out 2 back",11445
hung in,32441
sulky contacted,14476
"bell lap, 3 back on pegs",11909
"bell lap, 4 back on the pegs",11510
broke,52554
3 wide latter stages,5994
inconvenienced,35408
"bell lap, 5 back on the pegs",7516
warning issued,52818
"bell lap, 6 back on the pegs",2220
checked,25223
worked forward,36019
"bell lap, outside leader",17268
contacted sulky,17953
checked and broke,10652
"bell lap, three wide without cover",7353
three wide middle,14251
led,70753
"bell lap, leader",12916
surrendered lead middle,6276
"bell lap, behind leader",13299
locked wheels,16364
overraced,10314
raced roughly,34503
no abnormalities reported,10404
stood down 2 trials,3553
stood down 14 days,2312
raced wide,3514
query driving tactics,6827
restrained after start,52796
restrained early stages,18628
1 out 4 back,36
dropped knee boot,1637
"800m, 6 back on the pegs",1479
"400m, 6 back on the pegs",1244
protest lodged 1st dismissed,1178
last chance to race truly,23171
"bell lap, 1 out 4 back",6356
"bell lap, 1 out 5 back",2091
"bell lap, 3 wide and 2 back",946
contacted marker pegs,14000
query performance ,4978
shifted out,7772
driver suspended 10 days,883
caused interference,6873
horse to be spelled,1376
stood down 28 days,1112
restrained to last,3137
held up early,16070
obtained inside run,3387
broke under pressure,4973
hung in under pressure,5705
shifted in,5052
driver suspended 7 days,1712
outside leader,13082
restrained middle stages,3459
tired badly,8036
"bell lap, 8 back on the pegs",254
"800m, outside leader",3895
"400m, outside leader",4058
driver rep unacceptable whip,2237
run queried,15447
tightened,15266
inquiry adjourned,1963
back in mobile draw,8062
hung out,15913
condition reported,3880
stood down vet certificate,5827
cast plate (lost shoe),1680
checked and raced roughly,919
contacted own sulky,1141
driver fined $200,3429
driver fined $400,650
driver rep causing interference,2182
hung out under pressure,2311
lost 2nd on protest,215
driver fined $100,2418
dropped foot,3557
slow sectional,1015
driver suspended 14 days,1403
shifted out under pressure,8049
"800m, leader",3345
"400m, leader",3383
unable to hold lead,1241
failed to finish,1487
stood down pending electrocardiograph,520
outside leader throughout,10632
veered out,395
driver reprimanded,7186
careless driving,1710
3 wide early with trail,3931
3 wide late with trail,21059
forced wide,4960
"800m, 1 out 1 back",3521
"400m, 1 out 1 back",2724
"400m, 1 out 2 back",2676
"400m, 3 wide 3 back",1375
"400m, 3 wide and 1 back",1053
"400m, three wide without cover",1652
"800m, 1 out 2 back",3621
"400m, 1 out 3 back",2320
"400m, 3 wide and 2 back",1353
"400m, 3 wide and 4 back",918
"400m, 4 wide",864
"800m, 1 out 3 back",3468
"800m, 1 out 4 back",2645
"800m, 1 out 5 back",1307
"400m, 1 out 4 back",1712
"800m, 1 out 6 back",487
"400m, 3 wide and 5 back",367
"800m, 3 back on pegs",3513
"400m, 3 back on pegs",2793
"400m, 4 back on the pegs",2758
"400m, 5 back on the pegs",2171
"400m, behind leader",3100
