word,count
cwe,16858
wf,35686
ol,12810
10,29528
tire,30954
vxar,52471
lcrc,4026
d/f,9520
12,14299
2l,23797
3,50056
bl,176901
7,38858
hue,17252
fw,4963
lw,16091
30,2388
3wl,25204
swab,47562
3wlt,20914
inc,34633
11,13532
b,60329
lcrt,22780
13,5811
d/r,7176
hi,31842
14,4952
16,1092
17,17774
ft,7617
quer,15530
2,70655
soup,8123
d/s,4033
olt,10748
sho,7770
shi,5051
usl,14131
8,38141
hu,14561
oir,3376
qst,261
rrup,2689
wi,52012
sd1t,33102
3we,54406
rms,3490
3w,1850
w1,30585
3wm,38248
4,52021
6,43623
olm,1893
res,18394
rtr,12810
sct,14383
l,71135
1,46953
15,2221
31,1603
w2,14959
w3,7416
d/ct,2098
gg,20665
nar,11990
qdt,14575
d/clj,683
3wmt,4263
sd10d,2629
c,24774
pl3d,413
rr,33910
qip,1741
en,1337
41,13
5,42701
sd2t,3546
sd14d,2839
cmp,23692
d/ccmp,970
d/cwhip,255
bmd,7925
hiup,5664
ho,15707
sc,7654
nad,819
cb,10523
d/cdf,692
nat,14978
hul,2543
t/cnac,996
9,25633
bg,5964
tf,8683
bb,5094
odm,25016
bsu,19727
ops,39554
codm,8326
lcd,16549
gs,127644
bx2,3545
bas,17692
cts,18939
cfs,7540
cos,1634
cotff,3755
ras,64655
uw,6438
fbs,1822
fsu,2590
rodm,1274
vxbr,11087
gf,2957
ssu,1209
go,14358
cods,3649
rods,1104
bup,5116
d/f$,3297
4we,3697
ph,23157
fur,802
prb,11953
t/f$,1024
qpp,2934
sdvc,4868
df,3557
sle,10646
slm,6210
wc,1544
uthl,1218
otm,9093
rras,10010
ucl,4579
ot,235
hias,2918
ru,414
hosu,3895
d/ccd,368
ncr,3240
ia,151
incas,4819
d/csu,2382
prbt,40253
33,284
cotfb,2294
prs,48987
t/ct,440
d/csg,2554
d/cbocs,213
3wmlt,2925
dkb,1945
t,14925
d/ccp,228
houp,2280
scope,1427
phsu,2681
3wet,5609
resu,209
t/f,1810
pru,1740
32,923
qm,558
cr,4290
sdvets,3110
rrsu,4097
sal,763
so,8195
sodmt,110
t/cb,352
t/cg,1861
t/cldc,694
w4,2930
trcodm,114
cs,599
(l),43965
800,42029
400,42115
w6,1154
w7,465
w8,315
ov,8743
querp,5964
tired,12600
bs,209
tncp,3206
d/s7d,1710
frw,1024
pr,113
m,13067
clm,1736
spell,2125
sd28d,1113
(s),1512
d/f$200,3496
d/f$400,650
ssec,525
d/rsg,852
swab/p,1482
tob,237
d/f$100,2519
4wm,745
querdt,2169
r,1702
cot,2189
vo,416
rf,3568
cbas,1322
ncrvs,1427
pp,6030
scb,957
cx2,77
bx3,525
sd4t,142
bx4,21
fell,1627
d/rci,2368
inqadj,2307
pl2d,622
rw,3754
cas,3776
w5,1743
d/s14d,1403
d/s28d,211
ci,6970
pld,222
hc,218
sp,2362
d/f$20,143
d/f$50,2544
d/f$40,228
tr,24
d/s6w,307
ud,363
d/rt,494
d/ruw,2238
d/s21d,674
ds,2368
dw,793
sd7d,2067
ftf,889
gm,2027
tos,186
pl1d,1280
sg,2862
ff,649
hoas,2738
sl,4626
cp,2624
siup,876
re,1523
rg,3668
hisu,3239
