track,min_date,max_date
albany,2019-12-08 01:20:00+00:00,2025-02-14 12:42:00+00:00
albion park,2004-01-13 04:20:00+00:00,2025-05-31 11:29:00+00:00
ararat,2004-01-28 08:30:00+00:00,2025-05-14 06:13:00+00:00
ballarat,2017-06-08 10:00:00+00:00,2025-02-20 11:06:00+00:00
bathurst,2014-10-15 09:43:00+00:00,2025-05-28 09:01:00+00:00
bendigo,2004-01-02 04:17:00+00:00,2025-05-28 10:44:00+00:00
boort,2004-01-04 06:25:00+00:00,2025-03-02 03:19:00+00:00
bunbury,2014-10-11 09:16:00+00:00,2025-05-10 12:09:00+00:00
charlton,2004-01-18 06:55:00+00:00,2025-04-23 06:13:00+00:00
cobram,2004-01-25 05:15:00+00:00,2025-04-25 07:11:00+00:00
cranbourne,2004-01-03 09:00:00+00:00,2025-05-25 09:36:00+00:00
echuca,2004-01-01 09:07:00+00:00,2025-04-20 10:14:00+00:00
gawler,2004-02-27 10:24:00+00:00,2025-03-24 07:14:00+00:00
geelong,2004-01-07 09:00:00+00:00,2025-05-30 11:30:00+00:00
globe derby,2004-04-03 08:52:00+00:00,2025-05-31 12:48:00+00:00
gold coast,2004-01-02 10:12:00+00:00,2013-09-27 11:24:00+00:00
goulburn,2015-12-21 04:02:00+00:00,2021-12-20 05:43:00+00:00
gunbower,2012-11-18 02:59:00+00:00,2024-12-08 05:09:00+00:00
hamilton,2004-02-15 06:15:00+00:00,2025-05-09 05:48:00+00:00
horsham,2011-10-24 04:35:00+00:00,2025-05-28 05:48:00+00:00
kalgoorlie,2004-08-22 04:25:00+00:00,2017-12-15 13:25:00+00:00
kellerberrin,2012-10-07 06:05:00+00:00,2025-05-25 07:59:00+00:00
kilmore,2004-01-08 04:10:00+00:00,2025-05-29 11:06:00+00:00
mackay,2004-11-13 04:27:00+00:00,2005-10-22 04:12:00+00:00
marburg,2022-06-26 06:19:00+00:00,2025-03-02 02:35:00+00:00
maryborough,2004-01-07 02:21:00+00:00,2025-05-21 06:13:00+00:00
melton,2009-06-20 06:10:00+00:00,2025-05-31 11:15:00+00:00
mildura,2021-11-19 05:38:00+00:00,2024-11-29 03:38:00+00:00
moonee valley,2004-01-02 08:15:00+00:00,2010-02-06 11:32:00+00:00
mount gambier,2014-11-30 07:15:00+00:00,2025-05-27 11:05:00+00:00
northam,2021-09-17 10:55:00+00:00,2025-05-31 12:57:00+00:00
nyah,2004-01-06 07:25:00+00:00,2012-09-13 11:30:00+00:00
ouyen,2004-01-01 02:50:00+00:00,2025-05-11 06:34:00+00:00
pinjarra,2012-05-28 05:15:00+00:00,2025-05-26 08:47:00+00:00
port pirie,2004-01-02 08:52:00+00:00,2025-05-20 10:56:00+00:00
redcliffe,2004-01-09 09:10:00+00:00,2025-05-29 07:52:00+00:00
shepparton,2004-01-10 09:00:00+00:00,2025-05-27 10:41:00+00:00
south australia,2020-10-13 07:53:00+00:00,2022-04-08 10:35:00+00:00
st arnaud,2004-01-09 02:12:00+00:00,2024-11-10 06:24:00+00:00
stawell,2004-01-19 02:18:00+00:00,2025-04-18 06:23:00+00:00
strathalbyn,2006-03-12 02:37:00+00:00,2023-02-26 08:46:00+00:00
swan hill,2012-10-20 08:30:00+00:00,2025-04-27 10:47:00+00:00
terang,2004-01-15 07:40:00+00:00,2025-05-19 10:11:00+00:00
toowoomba,2012-03-04 03:15:00+00:00,2012-03-04 03:55:00+00:00
victor harbor,2017-12-27 06:30:00+00:00,2025-03-09 05:09:00+00:00
wagga,2019-02-18 04:02:00+00:00,2025-05-30 06:41:00+00:00
warragul,2004-01-23 04:35:00+00:00,2024-12-09 06:37:00+00:00
warrnambool,2004-06-06 06:00:00+00:00,2005-04-24 05:15:00+00:00
wedderburn,2004-01-05 02:18:00+00:00,2025-01-26 06:29:00+00:00
yarra valley,2004-01-16 03:39:00+00:00,2024-11-07 05:17:00+00:00
