track,distance,count,max_scheduledDate,min_scheduledDate
albany,1826,3,2005-02-06,2005-02-06
albany,1828,3020,2019-12-20,2004-01-11
albany,1832,1315,2025-02-21,2019-12-20
albany,2150,4,2009-01-04,2009-01-04
albany,2242,221,2019-03-01,2004-01-02
albany,2243,176,2015-12-20,2010-09-28
albany,2247,272,2024-12-28,2019-12-20
albany,2252,173,2008-01-18,2007-12-28
albany,2258,6775,2020-11-22,2004-01-02
albany,2265,3346,2025-02-21,2019-12-15
albany,2643,501,2019-02-08,2007-01-14
albany,2648,289,2024-12-20,2005-01-30
albany,2683,1169,2019-02-22,2004-02-06
albany,2690,145,2025-01-18,2020-01-25
albany,3078,18,2006-04-13,2005-04-08
albany,3113,54,2016-03-18,2007-03-30
albany,400,10,2011-03-14,2005-02-06
albion park,1119,103,2017-11-14,2007-05-22
albion park,1609,76,2023-12-29,2004-12-07
albion park,1628,467,2025-03-31,2012-06-19
albion park,1660,155270,2025-03-31,2004-01-03
albion park,2138,108457,2025-03-29,2004-01-03
albion park,2647,6745,2025-03-29,2004-01-10
albion park,2680,2480,2024-12-14,2004-01-10
albion park,3157,169,2025-03-22,2006-07-15
albury,1750,1176,2011-07-23,2004-01-10
albury,1770,5797,2025-03-31,2010-10-23
albury,2150,2341,2011-07-23,2004-01-10
albury,2170,4343,2025-02-14,2010-10-23
albury,2550,42,2013-11-15,2008-04-05
albury,2555,153,2021-02-12,2004-02-29
albury,2570,108,2025-02-14,2011-02-19
albury,2950,6,2005-02-26,2005-02-26
albury,2970,11,2011-05-14,2011-05-14
ararat,1790,5610,2025-02-28,2004-01-28
ararat,2165,972,2024-11-11,2004-02-18
ararat,2190,6,2008-01-25,2008-01-25
ararat,2195,7099,2025-02-28,2004-01-28
ararat,2570,1141,2025-02-28,2004-01-28
ararat,2590,9,2005-01-25,2005-01-25
ararat,2975,13,2010-08-17,2010-08-17
armidale,1609,1065,2023-02-26,2014-03-23
armidale,1980,594,2023-02-19,2014-03-23
armidale,2360,126,2023-02-26,2014-03-30
bacchus marsh,1750,38,2005-02-19,2004-02-15
bacchus marsh,2140,95,2005-02-19,2004-02-15
bacchus marsh,2552,42,2005-02-19,2004-02-15
ballarat,1200,53,2023-10-04,2021-01-23
ballarat,1609,188,2018-05-25,2004-03-20
ballarat,1710,19402,2025-03-13,2004-01-17
ballarat,2200,39079,2025-03-13,2004-01-17
ballarat,2710,2418,2025-01-18,2004-01-17
bankstown,1305,28,2009-12-05,2009-12-05
bankstown,1335,34,2024-06-10,2021-06-14
bankstown,1740,11224,2024-09-02,2004-01-22
bankstown,2140,14400,2024-09-02,2004-01-22
bankstown,2160,10,2006-09-30,2006-09-30
bankstown,2540,672,2024-06-10,2004-02-07
